filename,Rsep,R1,R1R2,R1Q1,R2Q2,delta,α
RM_stacked second run DS_12+3_1_C07.mpt,159.71251484547247,894.3187863865118,642801.1249736624,7.531867300049647,3.811833639456733,0.5000032407005537,0.96963215385673
RM_stacked second run DS_12+3_2_C08.mpt,173.52957283456772,1152.6466041204078,681393.7591234634,11.56286718455626,3.4833728901583663,0.5000075526385261,0.9717221223585514
RM_stacked second run DS_3+12_1_C05.mpt,147.34823986607918,943.7504277611006,724309.8982092944,4.422998677533565,6.690206774946906,0.33230845973825185,0.9656330393000198
RM_stacked second run DS_3+12_2_C06.mpt,136.1533043609369,954.9579523970493,759251.2211827877,4.521695745802103,6.727172613389912,0.2675522410032512,0.9700896184499181
