filename,Rsep,R1,Q,α
RM_stacked second run D12_1_C03.mpt,132.2884574907284,461.69598100387634,0.0022918390341523398,0.9530389433483429
RM_stacked second run D12_2_C04.mpt,131.02006388809417,489.29760593909754,0.0022953422738775982,0.9563630399987324
RM_stacked second run D3_1_C07.mpt,155.56678689015794,1162.3865093224113,0.010569767888385402,0.969030363078824
RM_stacked second run D3_2_C08.mpt,152.35410431317345,1114.7757997919596,0.010597552804553767,0.9655942527170632
RM_stacked second run S12_1_C05.mpt,140.98975522682633,163.9101393434971,0.0010762644212007565,0.9360506096620264
RM_stacked second run S12_2_C06.mpt,131.23234220862463,157.81336621440295,0.0010830606739866682,0.9300572338104127
RM_stacked second run S3_1_C03.mpt,160.57227448727988,498.42296470338096,0.004889493076006177,0.9585140582097057
RM_stacked second run S3_2_C04.mpt,145.90730331528482,510.6233044972646,0.004939478336380651,0.9617260721388073
