filename,Rsep,R1,R1Q,R2Q,delta,α
RM_stacked second run DS_12+3_1_C07.mpt,159.77525311352122,672.2147750935891,4.2634145714945735,5.880823263631967,0.5999999999999999,0.9696439998043811
RM_stacked second run DS_12+3_2_C08.mpt,173.02846926071032,757.9777443627487,4.9410644477137415,4.891469813164595,0.16700000000000004,0.9713393454827357
RM_stacked second run DS_3+12_1_C05.mpt,147.34823956069218,1266.7542259739384,7.96869502431805,4.2842479290401165,0.24757464239063767,0.9656330397956027
RM_stacked second run DS_3+12_2_C06.mpt,136.15330501366915,1296.121031854943,8.329596510667468,4.661328452141882,0.19712756454241473,0.9700896174737449
