filename,Rsep,R1,R1R2,R1Q1,R2Q2,delta,α
RM_stacked second run DS_12+3_1_C07.mpt,159.71826986751904,1128.229417933677,1596975.2566372738,11.974592801470207,2.34785327194446,0.499997971066338,0.9698890749434184
RM_stacked second run DS_12+3_2_C08.mpt,173.57729599905718,1298.088689186046,1373288.1326174128,14.674934230378069,2.276171629225159,0.5000007636886767,0.9718359206621509
RM_stacked second run DS_3+12_1_C05.mpt,147.34823955475295,1721.2477780749311,1078551.6921230608,14.712594571163207,9.962218412178041,0.1822028346981544,0.965633039553331
RM_stacked second run DS_3+12_2_C06.mpt,136.15330507431378,1399.5343176091967,997025.6653981529,9.71180501510409,8.83391984363902,0.18256157655182906,0.9700896172681046
